Text,Text_Cleansing,negative,neutral,positive
"warung ini dimiliki oleh pengusaha pabrik tahu yang sudah puluhan tahun terkenal membuat tahu putih di bandung . tahu berkualitas , dipadu keahlian memasak , dipadu kretivitas , jadilah warung yang menyajikan menu utama berbahan tahu , ditambah menu umum lain seperti ayam . semuanya selera indonesia . harga cukup terjangkau . jangan lewatkan tahu bletoka nya , tidak kalah dengan yang asli dari tegal !",warung milik usaha pabrik puluh kenal putih bandung kualitas padu ahli masak padu kretivitas warung saji menu utama bahan tambah menu sepe i ayam selera indonesia harga jangkau lewat bletoka nya kalah asli tegal,0,0,1
mohon ulama lurus dan k212 mmbri hujjah partai apa yang harus diwlh agar suara islam tidak pecah-pecah,mohon ulama lurus k ratus belas mmbri hujjah ai diwlh suara islam pecahpecah,0,1,0
"lokasi strategis di jalan sumatera bandung . tempat nya nyaman terutama sofa di lantai 2 . paella nya enak , sangat pas dimakan dengan minum bir dingin . appetiser nya juga enak-enak .",lokasi strategis jalan sumatra bandung nya nyaman sofa lantai paella nya enak pas makan minum bir dingin appetiser nya enakenak,0,0,1
betapa bahagia nya diri ini saat unboxing paket dan barang nya bagus ! menetapkan beli lagi !,betapa bahagia nya unbog paket barang nya bagus tetap beli,0,0,1
"duh . jadi mahasiswa jangan sombong dong . kasih kartu kuning segala . belajar dulu yang baik , tidak usahlah ikut-ikut politik . nanti sudah selesai kuliah nya mau ikut politik juga tidak telat . dasar mahasiswa .",aduh mahasiswa sombong kasih kakak kuning ajar usah ikutikut politik selesai kuliah nya politik telat dasar mahasiswa,1,0,0
"makanan beragam , harga makanan di food stall akan ditambahkan 10 % lagi di kasir , suasana ramai dan perlu perhatian untuk mendapatkan parkir dan tempat duduk .",makan agam harga makan food stall puluh kasir suasana ramai perhati parkir duduk,0,0,1
pakai kartu kredit bca tidak untung malah rugi besar,pakai kakak kredit baca untung rugi,1,0,0
"tempat unik , bagus buat foto , makanan enak , pegawai ramah , bersih dan luas , wifi kencang . harga standar dan sesuai dengan tempat nya . ada menu masakan makanan barat dan indonesia . menu favorit lychee mojito dan spagheti",unik bagus foto makan enak pegawai ramah bersih luas wifi kencang harga standar sesuai nya menu masakan makan barat indonesia menu favorit lychee mojito spagheti,0,0,1
"saya bersama keluarga baru saja menikmati pengalaman kuliner yang menyenangkan di rm sari sunda di jalan . setiabudhi , bandung . tapi , karena tidak ada hubungan untuk rm sari sunda di jalan . setiabudhi , maka saya tuliskan di sini . jadi , maaf jika rekan-rekan pembaca ada yang bingung . beberapa hal yang saya suka dari restoran ini adalah bahwa pelayanan restoran ini terbilang cepat .",keluarga nikmat alam kuliner senang rm sari sunda jalan setiabudhi bandung hubung rm sari sunda jalan setiabudhi tulis maaf rekanrekan baca bingung suka restoran layan restoran bilang cepat,0,0,1
bersyukur,syukur,0,0,1
"simcard indosat inaktiv gara-gara lupa isi pulsa dan kabar nya aktif jika pinda ke pasca bayar , ribet banget",simcard indosat inaktiv gara gara lupa isi pulsa kabar nya aktif pinda pasca bayar ribet banget,1,0,0
sifat iri sering muncul pada orang orang yang tidak punya tujuan hidup,sifat iri muncul orang orang tuju hidup,1,0,0
"sekadar menceritakan pengalaman saya pesan steak grilled beef 200 tidak disajikanlah steak 200 tidak tersebut dalam 2 potongan 100 tidak - 100 tidak rasanya tidak buruk , namun kualitas daging nya yang membuat saya enggan memesan menu beef lagi khusus nya sirloin karena lemak nya terlalu banyak untuk ukuran steak namun , masih ada menu-menu lain yang sangat menempel di lidah saya sarankan untuk membeli menu berlabel cheese atau . lanjutan",cerita alam pesan steak grilled beef ratus saji steak ratus potong ratus ratus buruk kualitas daging nya enggan mes menu beef khusus nya sirloin lemak nya ukur steak menumenu tempel lidah saran beli menu label cheese lanjut,0,0,1
"pengalaman bersama indosat hari ini , semoga tidak terjadi pada pelanggan lain . sempat sampai marah-marah dengan pelayanan pelanggan indosat",alam indosat moga langgan marahmarah layan langgan indosat,1,0,0
anak sekarang sulit untuk dinasehati,anak sulit nasehat,1,0,0
hanya mengatasi masalah kayak gini saja anies sandi tidak becus . ke mana saja pasukan kebersihan yang begitu banyak jumlah nya ?,atas kayak anies sandi becus pasu bersih nya,1,0,0
setiap bumn dibentuk dengan uu bukan dibentuk dengan uu .,badan usaha milik negara bentuk undang undang bentuk undang undang,0,1,0
"sehabis puas bermain di trans studio bandung , saya bersama teman sepakat untuk makan ayam kakek di sini . ayam nya selalu enak dan gurih !",habis puas main trans studio bandung teman sepakat makan ayam kakek ayam nya enak gurih,0,0,1
rasa bakso cuanki dan batagor cukup . selalu ramai pengunjung . buka sekitar jam 10 pagi . dari jalan riau menuju jalan a yani ada sisi kiri jalan sekitar jalan anggrek . harga per porsi sekitar rp 14 000 . datanglah lebih awal karena selalu ramai pengunjung,bakso cuanki batagor ramai unjung buka jam puluh pagi jalan riau jalan a yani sisi kiri jalan jalan anggrek harga porsi rupiah belas nol datang ramai unjung,0,0,1
sgwr 2018 beri dampak positif terhadap hobi anak-anak,sgwr ribu delapan belas dampak positif hobi anakanak,0,0,1
"berada di lembang , pemandangan indah , udara sejuk , penataan resto yang bagus , dilengkapi dengan makanan yang sangat nikmat . pilihan menu beragam dan minuman yang lengkap . lingkungan yang cocok untuk makan berdua dengan pasangan , membawa keluarga ataupun bersama dengan teman . lapangan parkir luas . restoran yang berkonsep terbuka ini membuat udara lembang sangat terasa sejuk nya .",lembang pandang indah udara sejuk tata resto bagus lengkap makan nikmat pilih menu agam minum lengkap lingkung cocok makan dua pasang bawa keluarga teman lapang parkir luas restoran konsep buka udara lembang sejuk nya,0,0,1
"berbuka puasa di sini pada minggu lepas , pak supir yang mencadangkan tempat makan ini . makanan nya di sini sedap dan harga berpatutan . tempat nya luas dan cantik . rekomendasi too others to dine in here to rasa authentic sunda makanan indonesia .",buka puasa minggu lepas supir cadang makan makan nya sedap harga patut nya luas cantik rekomendasi too others to dine in here to authentic sunda makan indonesia,0,0,1
hahaha suka banget nonton kartun indonesia keluarga pak tomat,haha suka banget tonton kakak uji nasional indonesia keluarga tomat,0,0,1
bagi teman-teman yang sedang berkunjung ke bandung bisa mampir ke kopi anjis untuk makan makanan yang tidak terlalu berat . ada cilok rakyat ditemankan dengan teh sereh dan lekker .,temanteman kunjung bandung mampir kopi anjis makan makan berat cilok rakyat teman teh sereh lekker,0,0,1
"di restoran ini , saya dan keluarga makan malam yang terakhir di bandung . kami berjumlah 8 orang dan bila nya hanya sekitar 400 an , benar-benar murah meriah , sampai makan double-double lagi . makanan nya juga enak , suasana kafe menarik , pelayanan sangat bagus . saya masih teringat petunjuk toilet yang ada di restoran ini men to the pergi , karena momen are selalu ribut hahahaha . setimpal .",restoran keluarga makan malam bandung delapan orang nya ratus an benarbenar murah riah makan doubledouble makan nya enak suasana kafe tarik layan bagus tunjuk toilet restoran men to the pergi momen are ribut haha timpal,0,0,1
"alhamdulillah hari ini tidak ke jalan bugel agak kesal juga kalau tiap hari lewat sana melulu . sempit , dua arah , macet sudah jadi makanan sehari-hari",alhamdulillah jalan bugel kesal melulu sempit arah macet makan seharihari,1,0,0
"respon agak lama , sama sayang nya rem nya bukan asli , masih rom distrobitor",respon sayang nya rem nya asli rom distrobitor,1,0,0
lokasi dengan pemandangan alam yang masih natural dan indah . suasana juga sejuk dan tenang . hanya saja banyak nyamuk dan harga makanan relatif mahal .,lokasi pandang alam natural indah suasana sejuk tenang nyamuk harga makan relatif mahal,0,0,1
pdip sebut ridwan kamil menang karena berbaju merah,partai demokrasi indonesia juang ridwan kamil menang baju merah,0,1,0
malu - maluin nih oknum yang tidak bertanggung jawab .,malu malu nih oknum be anggung,1,0,0
"makan siang di sini asyik juga . nuansa bali walaupun music nya musik sunda kadang musik khas bali bergantian . tempat nya enak dan adem tapi sayang sekali pesan kopi lama banget datang nya , diminta berkali kali , iya pak iya pak hampir 1 jam dan ketika kopi datang pun bukan kopi panas tapi kopi ade , ini kah ciri khas kopi di sini . kalau khas nya kopi dingin tidak enak .",makan siang asyik nuansa bal musik nya musik sunda kadang musik khas bal ganti nya enak adem sayang pesan kopi banget nya kali kali iya iya jam kopi kopi panas kopi adek kah ciri khas kopi khas nya kopi dingin enak,1,0,0
"tempat steak di bandung sejak lama dari zaman setiabudi sampai sekarang buka cabang di riau . tempat di riau ini lebih besar , parkiran juga tidak sulit seperti di setiabudi . lokasi di tempat kuliner jalan riau . porsi dan harga nya pas untuk ukuran steak . untuk zoom non smoking nya nyaman .",steak bandung zaman setiabudi buka cabang riau riau parkir sulit sepe i setiabudi lokasi kuliner jalan riau porsi harga nya pas ukur steak zoom non smoking nya nyaman,0,0,1
"08:30 : kedatangan presiden ri dan rombongan di gate 2 , terminal 3 disambut oleh menteri perhubungan , menteri bumn , gubernur banten , dirjen perkeretaapian kemhub , dirut ap2 , dirut pt kami , dan dirut railink",delapan ratus puluh datang presiden ri rombong gate terminal sambut menteri hubung menteri badan usaha milik negara gubernur banten direktur jenderal perkeretaapian kemhub direktur utama direktur utama pt direktur utama railink,0,1,0
makanan tradisional yang selalu rasanya stabil iga garang asam nya dan java steak nya jangan lupa ya dicoba hidangan penutup semua kue enak lemper soes fla gulung . enak sekali tidak ada yang tidak enak kalau makanan di sini .,makan tradisional stabil iga garang asam nya java steak nya lupa ya coba hidang tutup kue enak lemper soes fla gulung enak enak makan,0,0,1
"sampai saat ini saya rasa batagor ini masih yang terenak di kota bandung dibandingkan dengan batagor lainnya yang saya pernah coba . bumbu kacang nya pas rasanya di lidah , dan batagor nya juga tidak amis bau nya . silakan mencoba untuk yang belum pernah coba .",batagor enak kota bandung banding batagor coba bumbu kacang nya pas lidah batagor nya amis bau nya sila coba coba,0,0,1
"aroma khas yang ada jika makan di atas daun pisang , ya walau ramai tempat ini selalu jadi favourit saya jika ke bandung .",aroma khas makan daun pisang ya ramai favourit bandung,0,0,1
"akhir tahun lalu saya dan keluarga berjalan ke daerah lembang dan tidak sengaja mampir makan di resto ini . suasana nya nyaman , pelayanan juga ramah dan berlebihan ala kami puas . makanan yang di sajikan standar seperti makanan di restoran pada umum nya , tetapi yang membuat berbeda adalah sambal stroberi yang yummy dan bikin ketagihan . di sana selain bisa makan kita juga bisa sambil memetik . lanjutan",keluarga jalan daerah lembang sengaja mampir makan resto suasana nya nyaman layan ramah ala puas makan saji standar sepe i makan restoran nya beda sambal stroberi enak bikin tagih makan petik lanjut,0,0,1
risma menjatuhkan pilihan nya pada gus ipul - puti di pilgub jatim 2018 ini .,risma jatuh pilih nya gus ipul puti pilih gubernur jawa timur ribu delapan belas,0,1,0
"pengalaman yang cukup seru , makan tanpa alas piring , tapi hanya dengan alas daun , makin nikmat . makanan sunda yang sangat bervariatif dan cukup enak . tips nya : jangan terbawa emosi dan kalap memesan dan memilih semua makanan yang disediakan biasanya kalap kalau sudah melihat makanan macam-macam begitu . pilih seperlunya .",alam seru makan alas piring alas daun nikmat makan sunda variatif enak tips nya bawa emosi kalap mes pilih makan sedia kalap makan macammacam pilih,0,0,1
"makanan nya enak , suasana nyaman . harga bisa dibilang sama dengan tempat lain . restoran ini ada 4 konsep tapi yang paling terkenal menu jepang nya yang enak loh",makan nya enak suasana nyaman harga bilang restoran konsep kenal menu jepang nya enak,0,0,1
kampung daun adalah tempat makan yang menyatukan konsep alam dan budaya dari daerah setempat . walaupun di dalam kompleks perumahan akan tetapi tempat tersebut cukup luas mempunyai mungkin sekitar 20 lebih saung / tempat makan dari yang kapasitas sedang hingga besar . kualitas makanan enak dan dengan ada nya suara riak air dari air terjun kecil di sana membuat suasana sangat nyaman untuk makan .,kampung daun makan satu konsep alam budaya daerah kompleks rumah luas puluh saung makan kapasitas kualitas makan enak nya suara riak air air terjun suasana nyaman makan,0,0,1
